"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","352","invalidUsernameLogin","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","invalidUsernameLogin"
"","576","cartIconShouldOpenCartPageWithSelectedItem","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LandingPageTest","Surefire test","testcases.LandingPageTest","cartIconShouldOpenCartPageWithSelectedItem"
"","323","emptyUsernameAndPassword","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","emptyUsernameAndPassword"
"","371","lockedOutUserLogin","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","lockedOutUserLogin"
"","10768","removeFromCartShouldDecreaseCartBadgeCount","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LandingPageTest","Surefire test","testcases.LandingPageTest","removeFromCartShouldDecreaseCartBadgeCount"
"","14154","completeCheckoutShouldNavigateToCompletePage","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","completeCheckoutShouldNavigateToCompletePage"
"","6","verifyLoginPageTitle","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","verifyLoginPageTitle"
"","350","loginWithProblemUser","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","loginWithProblemUser"
"","14054","checkoutShouldShowErrorWhenPostalCodeMissing","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenPostalCodeMissing"
"","5693","removedProductShouldNotBeDisplayedInCart","Surefire suite","2026-06-25","failed","2026-06-25","testcases.CartPageTest","Surefire test","testcases.CartPageTest","removedProductShouldNotBeDisplayedInCart"
"","868","checkoutShouldShowErrorWhenAllFieldsEmpty","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenAllFieldsEmpty"
"","343","emptyUsername","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","emptyUsername"
"","379","emptyPassword","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","emptyPassword"
"","14061","checkoutShouldShowErrorWhenLastNameMissing","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenLastNameMissing"
"","14253","checkoutShouldShowErrorWhenFirstAndLastNameMissing","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenFirstAndLastNameMissing"
"","16951","addToCartShouldIncreaseCartBadgeCount","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LandingPageTest","Surefire test","testcases.LandingPageTest","addToCartShouldIncreaseCartBadgeCount"
"","14237","checkoutInformationShouldNavigateToStepTwo","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutInformationShouldNavigateToStepTwo"
"","349","invalidPasswordLogin","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","invalidPasswordLogin"
"","5692","removeProductShouldRemoveItemFromCart","Surefire suite","2026-06-25","failed","2026-06-25","testcases.CartPageTest","Surefire test","testcases.CartPageTest","removeProductShouldRemoveItemFromCart"
"","10798","checkoutButtonShouldNavigateToCheckoutPage","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CartPageTest","Surefire test","testcases.CartPageTest","checkoutButtonShouldNavigateToCheckoutPage"
"","14042","checkoutShouldShowErrorWhenFirstNameMissing","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenFirstNameMissing"
"","14055","checkoutShouldShowErrorWhenFirstNameAndPostalCodeMissing","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CheckoutTest","Surefire test","testcases.CheckoutTest","checkoutShouldShowErrorWhenFirstNameAndPostalCodeMissing"
"","364","validLogin","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","validLogin"
"","576","cartShouldDisplayAddedProduct","Surefire suite","2026-06-25","passed","2026-06-25","testcases.CartPageTest","Surefire test","testcases.CartPageTest","cartShouldDisplayAddedProduct"
"","5365","loginWithPerformanceGlitchUser","Surefire suite","2026-06-25","passed","2026-06-25","testcases.LoginTest","Surefire test","testcases.LoginTest","loginWithPerformanceGlitchUser"
